SUBURB_NAME,SUBURB_NAME_ADJOINING
MIDDLE PARK,WESTLAKE
MIDDLE PARK,MOUNT OMMANEY
MIDDLE PARK,SUMNER
MILTON,AUCHENFLOWER
MILTON,WEST END
MILTON,BRISBANE CITY
MILTON,PADDINGTON
MILTON,PETRIE TERRACE
MILTON,SOUTH BRISBANE
MITCHELTON,ENOGGERA
MITCHELTON,GAYTHORNE
MITCHELTON,EVERTON PARK
MITCHELTON,KEPERRA
MOGGILL,ANSTEAD
MOGGILL,BELLBOWRIE
MOGGILL,WACOL
MOGGILL,RIVERHILLS
MOOROOKA,ANNERLEY
MOOROOKA,SALISBURY
MOOROOKA,TARRAGINDI
MOOROOKA,ROCKLEA
MOOROOKA,YEERONGPILLY
MORETON ISLAND,BULWER
MORETON ISLAND,COWAN COWAN
MORETON ISLAND,KOORINGAL
MORNINGSIDE,BALMORAL
MORNINGSIDE,EAGLE FARM
MORNINGSIDE,NORMAN PARK
MORNINGSIDE,CANNON HILL
MORNINGSIDE,HAMILTON
MORNINGSIDE,SEVEN HILLS
MORNINGSIDE,BULIMBA
MORNINGSIDE,HAWTHORNE
MORNINGSIDE,MURARRIE
MOUNT COOT-THA,BARDON
MOUNT COOT-THA,TARINGA
MOUNT COOT-THA,INDOOROOPILLY
MOUNT COOT-THA,KENMORE HILLS
MOUNT COOT-THA,BROOKFIELD
MOUNT COOT-THA,CHAPEL HILL
MOUNT COOT-THA,THE GAP
MOUNT COOT-THA,TOOWONG
MOUNT CROSBY,CHUWAR
MOUNT CROSBY,KHOLO
MOUNT CROSBY,ANSTEAD
MOUNT CROSBY,KARANA DOWNS
MOUNT GRAVATT,NATHAN
MOUNT GRAVATT,TARRAGINDI
MOUNT GRAVATT,HOLLAND PARK
MOUNT GRAVATT,HOLLAND PARK WEST
MOUNT GRAVATT,MOUNT GRAVATT EAST
MOUNT GRAVATT,UPPER MOUNT GRAVATT
MOUNT GRAVATT EAST,HOLLAND PARK
MOUNT GRAVATT EAST,MOUNT GRAVATT
MOUNT GRAVATT EAST,CARINA HEIGHTS
MOUNT GRAVATT EAST,CARINDALE
MOUNT GRAVATT EAST,MANSFIELD
MOUNT GRAVATT EAST,UPPER MOUNT GRAVATT
MOUNT OMMANEY,JAMBOREE HEIGHTS
MOUNT OMMANEY,PINJARRA HILLS
MOUNT OMMANEY,SINNAMON PARK
MOUNT OMMANEY,JINDALEE
MOUNT OMMANEY,MIDDLE PARK
MOUNT OMMANEY,WESTLAKE
MURARRIE,EAGLE FARM
MURARRIE,HAMILTON
MURARRIE,HEMMANT
MURARRIE,PINKENBA
MURARRIE,CANNON HILL
MURARRIE,MORNINGSIDE
MURARRIE,TINGALPA
NATHAN,MOUNT GRAVATT
NATHAN,TARRAGINDI
NATHAN,ROBERTSON
NATHAN,COOPERS PLAINS
NATHAN,HOLLAND PARK WEST
NATHAN,MACGREGOR
NATHAN,SALISBURY
NATHAN,UPPER MOUNT GRAVATT
NEW FARM,HAWTHORNE
NEW FARM,TENERIFFE
NEW FARM,FORTITUDE VALLEY
NEW FARM,KANGAROO POINT
NEW FARM,NORMAN PARK
NEW FARM,EAST BRISBANE
NEWMARKET,ASHGROVE
NEWMARKET,ALDERLEY
NEWMARKET,KELVIN GROVE
NEWMARKET,WILSTON
NEWMARKET,GRANGE
NEWMARKET,RED HILL
NEWSTEAD,ALBION
NEWSTEAD,BOWEN HILLS
NEWSTEAD,BULIMBA
NEWSTEAD,FORTITUDE VALLEY
NEWSTEAD,HAMILTON
NEWSTEAD,TENERIFFE
NORMAN PARK,CAMP HILL
NORMAN PARK,COORPAROO
NORMAN PARK,MORNINGSIDE
NORMAN PARK,SEVEN HILLS
NORMAN PARK,EAST BRISBANE
NORMAN PARK,HAWTHORNE
NORMAN PARK,NEW FARM
NORTHGATE,BRISBANE AIRPORT
NORTHGATE,NUNDAH
NORTHGATE,BANYO
NORTHGATE,VIRGINIA
NUDGEE,BRISBANE AIRPORT
NUDGEE,BANYO
NUDGEE,BOONDALL
NUDGEE,NUDGEE BEACH
NUDGEE BEACH,NUDGEE
NUDGEE BEACH,SHORNCLIFFE
NUDGEE BEACH,BOONDALL
NUDGEE BEACH,BRISBANE AIRPORT
NUNDAH,BRISBANE AIRPORT
NUNDAH,HENDRA
NUNDAH,NORTHGATE
NUNDAH,CLAYFIELD
NUNDAH,KALINGA
NUNDAH,VIRGINIA
NUNDAH,WAVELL HEIGHTS
OXLEY,CORINDA
OXLEY,DURACK
OXLEY,RICHLANDS
OXLEY,ROCKLEA
OXLEY,FIG TREE POCKET
OXLEY,INALA
OXLEY,DARRA
OXLEY,SEVENTEEN MILE ROCKS
OXLEY,WILLAWONG
PADDINGTON,BARDON
PADDINGTON,RED HILL
PADDINGTON,AUCHENFLOWER
PADDINGTON,MILTON
PADDINGTON,PETRIE TERRACE
PALLARA,PARKINSON
PALLARA,WILLAWONG
PALLARA,ALGESTER
PALLARA,DOOLANDELLA
PALLARA,HEATHWOOD
PALLARA,FOREST LAKE
PALLARA,LARAPINTA
PARKINSON,CALAMVALE
PARKINSON,DREWVALE
PARKINSON,ALGESTER
PARKINSON,LARAPINTA
PARKINSON,PALLARA
PETRIE TERRACE,BRISBANE CITY
PETRIE TERRACE,MILTON
PETRIE TERRACE,PADDINGTON
PETRIE TERRACE,RED HILL
PETRIE TERRACE,SPRING HILL
PETRIE TERRACE,KELVIN GROVE
PINJARRA HILLS,BROOKFIELD
PINJARRA HILLS,KENMORE
PINJARRA HILLS,PULLENVALE
PINJARRA HILLS,WESTLAKE
PINJARRA HILLS,BELLBOWRIE
PINJARRA HILLS,MOUNT OMMANEY
PINJARRA HILLS,ANSTEAD
PINJARRA HILLS,JINDALEE
PINKENBA,BRISBANE AIRPORT
PINKENBA,HEMMANT
PINKENBA,MURARRIE
PINKENBA,PORT OF BRISBANE
PINKENBA,LYTTON
PINKENBA,EAGLE FARM
PORT OF BRISBANE,PINKENBA
PORT OF BRISBANE,LYTTON
PORT OF BRISBANE,WYNNUM
PULLENVALE,BROOKFIELD
PULLENVALE,ANSTEAD
PULLENVALE,KHOLO
PULLENVALE,UPPER BROOKFIELD
PULLENVALE,PINJARRA HILLS
RANSOME,CHANDLER
RANSOME,GUMDALE
RANSOME,LOTA
RANSOME,WAKERLEY
RED HILL,ASHGROVE
RED HILL,PETRIE TERRACE
RED HILL,BARDON
RED HILL,KELVIN GROVE
RED HILL,NEWMARKET
RED HILL,PADDINGTON
RICHLANDS,DARRA
RICHLANDS,FOREST LAKE
RICHLANDS,OXLEY
RICHLANDS,WACOL
RICHLANDS,INALA
RIVERHILLS,WESTLAKE
RIVERHILLS,BELLBOWRIE
